point,block,axis,setpoint,unit,lateral_mm,longitudinal_mm,vertical_mm,xray_verification_point_id
1,longitudinal,h,0,mm,0.2,-0.3,0.2,1
2,longitudinal,h,+10,mm,0.3,-10.3,0.2,2
3,longitudinal,h,0,mm,0.2,-0.3,0.2,3
4,vertical,v,0,mm,0.2,-0.3,0.2,4
5,vertical,v,+10,mm,0.7,-14.3,-0.2,5
6,vertical,v,-10,mm,-0.4,14.1,-0.3,6
7,vertical,v,0,mm,0.2,-0.3,0.2,7
8,rotation,r,0,deg,0.2,-0.3,0.2,9
9,rotation,r,+5,deg,0.1,-0.4,0.2,10
10,rotation,r,-5,deg,0.2,-0.2,0.2,11
11,rotation,r,0,deg,0.2,-0.3,0.2,12
12,rotation,r,+30,deg,-0.2,-0.7,0.2,13
13,rotation,r,-30,deg,0.6,-0.1,0.2,14
14,rotation,r,+45,deg,-0.3,-1.1,0.2,15
15,rotation,r,+90,deg,-0.1,-1.8,0.2,16
16,rotation,r,+60,deg,-0.3,-1.4,0.2,17
17,rotation,r,0,deg,0.1,-0.3,0.2,8
