run_id,csv_file,etd_file,group,roi_area,heatingpads,title,used_in_analysis,note,blueprint,protocol_remark
,ETsurface_easyQA_20260715_134010.csv,,,,,,false,,,
,ETD_QA_BasicPoP_20260715_141909.csv,,,,,,false,ETD_QA_BasicPoP_20260715_141909_QA.csv contains only its header.,,
,ETD_QA_PoP_SingleCouchOrientation_20260715_142333.csv,,,,,,false,ETD_QA_PoP_SingleCouchOrientation_20260715_142333_QA.csv contains only its header.,,
,ETD_QA_PoP_SingleCouchOrientation_20260715_142924.csv,,,,,,false,ETD_QA_PoP_SingleCouchOrientation_20260715_142924_QA.csv contains only its header.,,
,ETsurface_easyQA_wcouch_20260715_153326.csv,,,,,,false,,,
1,ETsurface_easyQA_20260715_161730.csv,TrackingResult_2026-07-15_16-19-59.json,single angle,,OFF,"deflection 1, couch 0 deg",true,surf-etds-qa configuration entry 1.,,
2,ETsurface_easyQA_20260715_161730.csv,TrackingResult_2026-07-15_16-23-41.json,single angle,,OFF,"deflection 2, couch 0 deg",true,surf-etds-qa configuration entry 2.,,
3,ETsurface_easyQA_T32_20260715_163942.csv,TrackingResult_2026-07-15_16-42-09.json,single angle,,32,"deflection 1, couch 0 deg",true,surf-etds-qa configuration entry 3.,,
4,ETsurface_easyQA_T32_20260715_163942.csv,TrackingResult_2026-07-15_16-46-10.json,single angle,,32,"deflection 2, couch 0 deg",true,surf-etds-qa configuration entry 4.,,
5,ETsurface_easyQA_wcouch_T32_20260715_165141.csv,TrackingResult_2026-07-15_16-53-01.json,multi angle,,32,"deflection 1, couch 0 deg",true,surf-etds-qa configuration entry 5.,,
6,ETsurface_easyQA_wcouch_T32_20260715_165141.csv,TrackingResult_2026-07-15_16-55-54.json,multi angle,,32,"deflection 2, couch 0 deg",true,surf-etds-qa configuration entry 6.,,
7,ETsurface_easyQA_wcouch_T32_20260715_165141.csv,TrackingResult_2026-07-15_17-01-46.json,multi angle,,32,"deflection 1, couch -90 deg",true,surf-etds-qa configuration entry 7.,,
8,ETsurface_easyQA_wcouch_T32_20260715_165141.csv,TrackingResult_2026-07-15_17-04-44.json,multi angle,,32,"deflection 2, couch -90 deg",true,surf-etds-qa configuration entry 8.,,
